"DISPLAYSEQ","JFAGYCODE","JPTERM","JPKANA","","ENTERM","LEVEL","MAINFLAG","GUIDELINE","CXGCATEGORY","RECORDDATE","ENDDATE"
"50","J9FA19980000","雑穀（その他）","ざっこく（そのた）","","Minor grains (Other)","4","","","1","00000000","99999999"
"51","J9FA19990000","雑穀（詳細不明）","ざっこく（しょうさいふめい）","","Minor grains (N.O.S)","4","","","1","00000000","99999999"
"52","J9FA21000000","豆類","まめるい","","Beans","3","1","","1","00000000","99999999"
"53","J9FA21000011","豆粉","まめこ","","Bean flour","6","","","1","00000000","99999999"
"54","J9FA21000012","煮豆","にまめ","","Cooked beans","6","","","1","00000000","99999999"
"55","J9FA21000013","いり豆","いりまめ","","Roasted beans","6","","","1","00000000","99999999"
"56","J9FA21110000","大豆","だいず","","Soybeans","4","1","1","1","00000000","99999999"
"57","J9FA21110011","大豆粉","だいずこ","","Soybean flour","6","","","1","00000000","99999999"
"58","J9FA21110012","豆腐","とうふ","","Tofu","6","1","1","1","00000000","99999999"
"59","J9FA21110013","油揚げ","あぶらあげ","","Deep-fried tofu","6","","","1","00000000","99999999"
"60","J9FA21110014","生あげ","なまあげ","","Fresh deep-fried tofu","6","","","1","00000000","99999999"
"61","J9FA21110015","がんもどき","がんもどき","","Ganmodoki","6","","","1","00000000","99999999"
"62","J9FA21110016","ゆば","ゆば","","Yuba","6","","","1","00000000","99999999"
"63","J9FA21110017","納豆","なっとう","","Natto (Fermented soybeans)","6","1","1","1","00000000","99999999"
"64","J9FA21110018","きなこ","きなこ","","Roasted soybean flour","6","","","1","00000000","99999999"
"65","J9FA21110019","豆乳","とうにゅう","","Soy milk","6","1","1","1","00000000","99999999"
"66","J9FA21110021","特異的IgE Gly m 4 (大豆由来)","とくいてきあいじーいーぐりしんｍ4（だいずゆらい）","","Specific IgE Gly m 4 (from soybeans)","6","","","1","00000000","99999999"
"67","J9FA21120000","小豆","あずき","","Adzuki beans","4","1","","1","00000000","99999999"
"68","J9FA21120011","あずき粉","あずきこ","","Adzuki bean powder","6","","","1","00000000","99999999"
"69","J9FA21120012","ゆであずき","ゆであずき","","Boiled adzuki beans","6","","","1","00000000","99999999"
"70","J9FA21120013","あん","あん","","Red bean paste","6","","","1","00000000","99999999"
"71","J9FA21130000","いんげん","いんげん","","Green beans","4","","","1","00000000","99999999"
"72","J9FA21130011","いんげん豆粉","いんげんまめこ","","Green bean flour","6","","","1","00000000","99999999"
"73","J9FA21131100","うずら","うずら","","Quail","5","","","1","00000000","99999999"
"74","J9FA21131200","手亡","てぼう","","White kidney beans","5","","","1","00000000","99999999"
"75","J9FA21131300","金時","きんとき","","Red kidney beans","5","","","1","00000000","99999999"
"76","J9FA21131400","とら豆","とらまめ","","Tora beans","5","","","1","00000000","99999999"
"77","J9FA21131500","白花豆","しろはなまめ","","White flower beans","5","","","1","00000000","99999999"
"78","J9FA21131600","大福","おおふくまめ","","Daifuku","5","","","1","00000000","99999999"
"79","J9FA21140000","えんどう","えんどう","","Peas","4","","1","1","00000000","99999999"
"80","J9FA21141100","さやえんどう","さやえんどう","","Pea pods","5","","","1","00000000","99999999"
"81","J9FA21141200","スナップえんどう","すなっぷえんどう","","Snap peas","5","","","1","00000000","99999999"
"82","J9FA21141300","グリーンピース","ぐりーんぴーす","","Green peas","5","","","1","00000000","99999999"
"83","J9FA21150000","ささげ","ささげ","","Sasage","4","","","1","00000000","99999999"
"84","J9FA21170000","緑豆","りょうくとう、りょくず","","Mung beans","4","","","1","00000000","99999999"
"85","J9FA21180000","落花生","らっかせい","","Peanuts","4","1","1","1","00000000","99999999"
"86","J9FA21180011","ピーナッツバター","ぴーなっつばたー","","Peanut butter","6","","","1","00000000","99999999"
"87","J9FA21180012","特異的IgE Ara h2（ピーナッツ由来）","とくいてきあいじーいーあらにんh2（ぴーなっつゆらい）","","Specific IgE Ara h2 (from peanuts)","6","","","1","00000000","99999999"
"88","J9FA21190000","キドニー豆","きどにーまめ","","Kidney beans","4","","","1","00000000","99999999"
"89","J9FA21210000","レンズ豆","れんずまめ","","Lentils","4","","","1","00000000","99999999"
"90","J9FA21220000","ヒヨコ豆","ひよこまめ","","Chickpeas","4","","1","1","00000000","99999999"
"91","J9FA21230000","ライ豆","らいまめ","","Lima beans","4","","","1","00000000","99999999"
"92","J9FA21980000","豆類（その他）","まめるい（そのた）","","Beans (Other)","4","","","1","00000000","99999999"
"93","J9FA21990000","豆類（詳細不明）","まめるい（しょうさいふめい）","","Beans (N.O.S)","4","","","1","00000000","99999999"
"94","J9FA22000000","粉類","こなるい","","Flours","3","","","1","00000000","99999999"
"95","J9FA22110000","調整雑粉","ちょうせいざっぷん","","Miscellaneous flour","4","","","1","00000000","99999999"
"96","J9FA22111100","プレミックス","ぷれみっくす","","Premixes","5","","","1","00000000","99999999"
"97","J9FA22111200","パン類ミックス","ばんるいみっくす","","Bread mixes","5","","","1","00000000","99999999"
"98","J9FA22111300","ケーキ類ミックス","けーきるいみっくす","","Cake mixes","5","","","1","00000000","99999999"
"99","J9FA22111400","調理用ミックス","ちょうりようみっくす","","Cooking mixes","5","","","1","00000000","99999999"
"100","J9FA22980000","粉類（その他）","こなるい（そのた）","","Flours (Other)","4","","","1","00000000","99999999"
"101","J9FA22990000","粉類（詳細不明）","こなるい（しょうさいふめい）","","Flours (N.O.S)","4","","","1","00000000","99999999"
"102","J9FA23000000","でん粉","でんぷん","","Starch","3","","","1","00000000","99999999"
"103","J9FA23110000","タピオカでん粉","たぴおかでんぷん","","Tapioca starch","4","","","1","00000000","99999999"
"104","J9FA23120000","サゴでん粉","さごでんぷん","","Sago starch","4","","","1","00000000","99999999"
"105","J9FA23980000","でん粉（その他）","でんぷん（そのた）","","Starch (Other)","4","","","1","00000000","99999999"
"106","J9FA23990000","でん粉（詳細不明）","でんぷん（しょうさいふめい）","","Starch (N.O.S)","4","","","1","00000000","99999999"
"107","J9FA24000000","根菜類","こんさいるい","","Root vegetables","3","1","","1","00000000","99999999"
"108","J9FA24110000","だいこん","だいこん","","Daikon radish","4","","1","1","00000000","99999999"
"109","J9FA24111100","こうしんだいこん","こうしんだいこん","","Koshin daikon","5","","","1","00000000","99999999"
"110","J9FA24111200","あおながだいこん","あおながだいこん","","Aonaga daikon","5","","","1","00000000","99999999"
"111","J9FA24111300","べにまるだいこん","べにまるだいこん","","Benimaru daikon","5","","","1","00000000","99999999"
"112","J9FA24111400","べにながだいこん","べにながだいこん","","Beni naga daikon","5","","","1","00000000","99999999"
"113","J9FA24120000","かぶ","がぶ","","Turnip","4","","","1","00000000","99999999"
"114","J9FA24130000","にんじん","にんじん","","Carrot","4","","1","1","00000000","99999999"
"115","J9FA24131100","西洋にんじん","せいようにんじん","","Western carrot","5","","","1","00000000","99999999"
"116","J9FA24131200","金時にんじん","きんときにんじん","","Kintoki carrot","5","","","1","00000000","99999999"
"117","J9FA24140000","ごぼう","ごぼう","","Burdock","4","","","1","00000000","99999999"
"118","J9FA24141200","葉ごぼう","はごぼう","","Leaf burdock","5","","","1","00000000","99999999"
"119","J9FA24150000","れんこん","れんこん","","Lotus root","4","","","1","00000000","99999999"
"120","J9FA24160000","さつまいも","さつまいも","","Sweet potato","4","","","1","00000000","99999999"
"121","J9FA24160011","いも粉","いもこ","","Potato flour","6","","","1","00000000","99999999"
"122","J9FA24160012","かんしょでん粉","かんしょでんぷん","","Sweet potato starch","6","","","1","00000000","99999999"
"123","J9FA24160013","いもがら","いもがら","","Dried taro stem","6","","","1","00000000","99999999"
"124","J9FA24170000","じゃがいも","じゃがいも","","Potato","4","","1","1","00000000","99999999"
"125","J9FA24170011","じゃがいもでん粉","じゃがいもでんぷん","","Potato starch","6","","","1","00000000","99999999"
"126","J9FA24180000","さといも","さといも","","Taro","4","","1","1","00000000","99999999"
"127","J9FA24181100","セレベス","せれべす","","Celebes taro","5","","","1","00000000","99999999"
"128","J9FA24181200","京いも","たけのこいも","","Kyoimo","5","","","1","00000000","99999999"
"129","J9FA24181300","やつがしら","やつがしら","","Yatsugashira taro","5","","","1","00000000","99999999"
"130","J9FA24181400","えびいも","えびいも","","Ebiimo","5","","","1","00000000","99999999"
"131","J9FA24181500","えぐいも","えぐいも","","Eguimo","5","","","1","00000000","99999999"
"132","J9FA24181600","はすいも","はすいも","","Hasuimo","5","","","1","00000000","99999999"
"133","J9FA24190000","やまのいも","やまのいも","","Japanese yam","4","1","1","1","00000000","99999999"
"134","J9FA24191100","ながいも","ながいも","","Chinese yam","5","","","1","00000000","99999999"
"135","J9FA24191200","やまといも","やまといも","","Yamato yam","5","","","1","00000000","99999999"
"136","J9FA24210000","くわい","くわい","","Arrowhead","4","","","1","00000000","99999999"
"137","J9FA24220000","ラディッシュ","らでぃっしゅ","","Radish","4","","","1","00000000","99999999"
"138","J9FA24230000","食用ゆり","しょくようゆり","","Edible lily","4","","","1","00000000","99999999"
"139","J9FA24240000","ビーツ","びーつ","","Beets","4","","","1","00000000","99999999"
"140","J9FA24250000","ちょろぎ","ちょろぎ","","Chorogi","4","","","1","00000000","99999999"
"141","J9FA24260000","セルリアク","せるりあく","","Celeriac","4","","","1","00000000","99999999"
"142","J9FA24270000","ビート","ビート","","Beet","4","","","1","00000000","99999999"
"143","J9FA24980000","根菜類（その他）","こんさいるい（そのた）","","Root vegetables (Other)","4","","","1","00000000","99999999"
"144","J9FA24990000","根菜類（詳細不明）","こんさいるい（しょうさいふめい）","","Root vegetables (N.O.S)","4","","","1","00000000","99999999"
"145","J9FA25000000","葉茎菜類","ようけいさいるい","","Leaf and stem vegetables","3","","","1","00000000","99999999"
"146","J9FA25110000","はくさい","はくさい","","Chinese cabbage","4","","","1","00000000","99999999"
"147","J9FA25111100","たけのこはくさい","たけのこはくさい","","Bamboo shoot cabbage","5","","","1","00000000","99999999"
"148","J9FA25120000","たけのこ","たけのこ","","Bamboo shoot","4","","1","1","00000000","99999999"
"149","J9FA25130000","さんとうさい","さんとうさい","","Santousai","4","","","1","00000000","99999999"
"150","J9FA25140000","こまつな","こまつな","","Komatsuna","4","","","1","00000000","99999999"
"151","J9FA25150000","つけな","つけな","","Tsukena","4","","","1","00000000","99999999"
"152","J9FA25151100","きょうな","きょうな","","Kyona","5","","","1","00000000","99999999"
"153","J9FA25151200","みぶな","みぶな","","Mibuna","5","","","1","00000000","99999999"
"154","J9FA25151300","のざわな","のざわな","","Nozawana","5","","","1","00000000","99999999"
"155","J9FA25151400","ひろしまな","ひろしまな","","Hiroshimana","5","","","1","00000000","99999999"
"156","J9FA25160000","からしな類","からしなるい","","Mustard greens","4","","","1","00000000","99999999"
"157","J9FA25161100","からしな","からしな","","Mustard green","5","","","1","00000000","99999999"
"158","J9FA25161200","たかな","たかな","","Takana","5","","","1","00000000","99999999"
"159","J9FA25170000","キャベツ","きゃべつ","","Cabbage","4","","1","1","00000000","99999999"
"160","J9FA25171100","グリーンボール","ぐりーんんぼーる","","Green cabbage","5","","","1","00000000","99999999"
"161","J9FA25171200","レッドキャベツ","れっどきゃべつ","","Red cabbage","5","","","1","00000000","99999999"
"162","J9FA25171300","芽キャベツ","めきゃべつ","","Brussels sprouts","5","","","1","00000000","99999999"
"163","J9FA25180000","つまみな","つまみな","","Tsumanina","4","","","1","00000000","99999999"
"164","J9FA25190000","チンゲンサイ","ちんげんざい","","Bok choy","4","","","1","00000000","99999999"
"165","J9FA25210000","ほうれんそう","ほうれんそう","","Spinach","4","","1","1","00000000","99999999"
"166","J9FA25220000","ふき","ふき","","Butterbur","4","","","1","00000000","99999999"
"167","J9FA25221100","つわぶき","つわぶき","","Leopard plant","5","","","1","00000000","99999999"
"168","J9FA25221200","ふきのとう","ふきのとう","","Butterbur sprout","5","","","1","00000000","99999999"
"169","J9FA25230000","うど","うど","","Udo","4","","","1","00000000","99999999"
"170","J9FA25240000","みつば","みつば","","Mitsuba","4","","1","1","00000000","99999999"
"171","J9FA25250000","しゅんぎく","しゅんぎく","","Garland chrysanthemum","4","","","1","00000000","99999999"
"172","J9FA25260000","せり","せり","","Water dropwort","4","","1","1","00000000","99999999"
"173","J9FA25270000","セロリ","せろり","","Celery","4","","1","1","00000000","99999999"
"174","J9FA25280000","アスパラガス","あすぱらがす","","Asparagus","4","","","1","00000000","99999999"
"175","J9FA25290000","カリフラワー","かりふらわー","","Cauliflower","4","","","1","00000000","99999999"
"176","J9FA25310000","ブロッコリー","ぶろっこりー","","Broccoli","4","","1","1","00000000","99999999"
"177","J9FA25320000","レタス","れたす","","Lettuce","4","","1","1","00000000","99999999"
"178","J9FA25321100","リーフレタス","しーふれたす","","Leaf lettuce","5","","","1","00000000","99999999"
"179","J9FA25321200","コスレタス","こすれたす","","Romaine lettuce","5","","","1","00000000","99999999"
"180","J9FA25321300","ステムレタス","すてむれたす","","Stem lettuce","5","","","1","00000000","99999999"
"181","J9FA25330000","サラダ菜","さらだな","","Salad greens","4","","1","1","00000000","99999999"
"182","J9FA25340000","ねぎ","ねぎ","","Green onion","4","","1","1","00000000","99999999"
"183","J9FA25341100","白ねぎ","しろねぎ","","White green onion","5","","","1","00000000","99999999"
"184","J9FA25341200","青ねぎ","あおねぎ","","Scallion","5","","","1","00000000","99999999"
"185","J9FA25341300","こねぎ","こねぎ","","Chive","5","","","1","00000000","99999999"
"186","J9FA25350000","わけぎ","わけぎ","","Welsh onion","4","","","1","00000000","99999999"
"187","J9FA25360000","あさつき","あさつき","","Asatsuki","4","","","1","00000000","99999999"
"188","J9FA25370000","にら","にら","","Chinese chive","4","","1","1","00000000","99999999"
"189","J9FA25380000","たまねぎ","たまねぎ","","Onion","4","","1","1","00000000","99999999"
"190","J9FA25380011","オニオンエキス","おにおんえきす","","Onion extract","6","","","1","00000000","99999999"
"191","J9FA25381100","アーリーレッド","あーりーれっど","","Early red onion","5","","","1","00000000","99999999"
"192","J9FA25381200","ペコロス","ぺころす","","Pickling onion","5","","","1","00000000","99999999"
"193","J9FA25390000","にんにく","にんにく","","Garlic","4","","1","1","00000000","99999999"
"194","J9FA25391100","葉にんにく","はにんにく","","Garlic leaves","5","","","1","00000000","99999999"
"195","J9FA25391200","にんにくの芽","にんにくのめ","","Garlic sprouts","5","","","1","00000000","99999999"
"196","J9FA25410000","らっきょう","らっきょう","","Rakkyo","4","","","1","00000000","99999999"
"197","J9FA25420000","エシャレット","えしゃれっと","","Shallot","4","","","1","00000000","99999999"
"198","J9FA25430000","もやし","もやし","","Bean sprouts","4","","","1","00000000","99999999"
"199","J9FA25431100","大豆もやし","だいずもやし","","Soybean sprouts","5","","","1","00000000","99999999"
"200","J9FA25440000","なばな","なばな","","Nabana","4","","","1","00000000","99999999"
"201","J9FA25450000","タアサイ","たあさい","","Tatsoi","4","","","1","00000000","99999999"
"202","J9FA25460000","パクチィ","ぱくちぃ","","Cilantro","4","","","1","00000000","99999999"
"203","J9FA25470000","つるむらさき","つるむらさき","","Malabar spinach","4","","","1","00000000","99999999"
"204","J9FA25480000","エンダイブ","えんだいぶ","","Endive","4","","","1","00000000","99999999"
"205","J9FA25490000","チコリー","ちこりー","","Chicory","4","","1","1","00000000","99999999"
"206","J9FA25510000","おかひじき","おかひじき","","Land seaweed","4","","","1","00000000","99999999"
"207","J9FA25520000","コンサイタイ","こんさいたい","","Konsaitai","4","","","1","00000000","99999999"
"208","J9FA25530000","サイシン","さいしん","","Wild ginger","4","","","1","00000000","99999999"
"209","J9FA25540000","あしたば","あしたば","","Angelica keiskei","4","","","1","00000000","99999999"
"210","J9FA25550000","エンサイ","えんさい","","Water spinach","4","","","1","00000000","99999999"
"211","J9FA25560000","カイラン","かいらん","","Chinese broccoli","4","","","1","00000000","99999999"
"212","J9FA25570000","芹菜","きんさい","","Chinese Celery","4","","","1","00000000","99999999"
"213","J9FA25580000","コウサイタイ","こうさいたい","","Purple-stem mustard","4","","","1","00000000","99999999"
"214","J9FA25590000","コールラビ","こーるらび","","Kohlrabi","4","","","1","00000000","99999999"
"215","J9FA25610000","食用なずな","しょくようなずな","","Shepherd's purse","4","","","1","00000000","99999999"
"216","J9FA25620000","じゅんさい","じゅんさい","","Watershield","4","","","1","00000000","99999999"
"217","J9FA25630000","セリホン","せりほん","","Japanese parsley","4","","","1","00000000","99999999"
"218","J9FA25640000","ひゆな","ひゆな","","Hiyuna","4","","","1","00000000","99999999"
"219","J9FA25660000","ふだんそう","ふだんそう","","Swiss chard","4","","","1","00000000","99999999"
"220","J9FA25670000","まこも","まこも","","Wild rice","4","","","1","00000000","99999999"
"221","J9FA25680000","モロヘイヤ","もろへいや","","Corchorus olitorius","4","","","1","00000000","99999999"
"222","J9FA25690000","ルバーブ","るばーぶ","","Rhubarb","4","","","1","00000000","99999999"
"223","J9FA25710000","リーキ","りーき","","Leeks","4","","","1","00000000","99999999"
"224","J9FA25720000","アーティチョーク","あーてぃちょーく","","Artichoke","4","","","1","00000000","99999999"
"225","J9FA25730000","ケール","けーる","","Kale","4","","","1","00000000","99999999"
"226","J9FA25740000","トレビス","とれびす","","Radicchio","4","","1","1","00000000","99999999"
"227","J9FA25980000","葉茎菜類（その他）","ようけいさいるい（そのた）","","Leaf and stem vegetables (Other)","4","","","1","00000000","99999999"
"228","J9FA25990000","葉茎菜類（詳細不明）","ようけいさいるい（しょうさいふめい）","","Leaf and stem vegetables (N.O.S)","4","","","1","00000000","99999999"
"229","J9FA26000000","果菜類","かさいるい","","Fruiting vegetables","3","","","1","00000000","99999999"
"230","J9FA26110000","きゅうり","きゅうり","","Cucumber","4","","1","1","00000000","99999999"
"231","J9FA26111100","もろきゅうり","もろきゅうり","","Moro cucumber","5","","","1","00000000","99999999"
"232","J9FA26111200","花まるきゅうり","はなまるきゅうり","","Hanamaru cucumber","5","","","1","00000000","99999999"
"233","J9FA26120000","しろうり","しろうり","","White melon","4","","","1","00000000","99999999"
"234","J9FA26130000","かぼちゃ","かぼちゃ","","Pumpkin","4","","","1","00000000","99999999"
"235","J9FA26131100","ズッキーニ","ずっきーに","","Zucchini","5","","1","1","00000000","99999999"
"236","J9FA26131200","バターナッツかぼちゃ","ばたーなっつかぼちゃ","","Butternut squash","5","","","1","00000000","99999999"
"237","J9FA26140000","なす","なす","","Eggplant","4","","","1","00000000","99999999"
"238","J9FA26141100","小なす","こなす","","Small eggplant","5","","","1","00000000","99999999"
"239","J9FA26141200","べいなす","べいなす","","American eggplant","5","","","1","00000000","99999999"
"240","J9FA26150000","トマト","とまと","","Tomato","4","","1","1","00000000","99999999"
"241","J9FA26150011","トマトケチャップ","とまとけちゃっぷ","","Tomato ketchup","6","","","1","00000000","99999999"
"242","J9FA26151100","ミニトマト","みにとまと","","Cherry tomatoes","5","","","1","00000000","99999999"
"243","J9FA26160000","ピーマン","ぴーまん","","Bell pepper","4","","1","1","00000000","99999999"
"244","J9FA26170000","ししとうがらし","ししとうがらし","","Shishito pepper","4","","1","1","00000000","99999999"
"245","J9FA26180000","さやいんげん","さやいんげん","","String beans","4","","","1","00000000","99999999"
"246","J9FA26190000","そらまめ","そらまめ","","Broad beans","4","","","1","00000000","99999999"
"247","J9FA26210000","えだまめ","えだまめ","","Edamame","4","","","1","00000000","99999999"
"248","J9FA26220000","オクラ","おくら","","Okra","4","","","1","00000000","99999999"
"249","J9FA26230000","とうがん","とうがん","","Winter melon","4","","","1","00000000","99999999"
"250","J9FA26240000","にがうり","にがうり","","Bitter melon","4","","","1","00000000","99999999"
"251","J9FA26250000","はやとうり","はやとうり","","Sponge gourd","4","","","1","00000000","99999999"
"252","J9FA26260000","へびうり","へびうり","","Snake gourd","4","","","1","00000000","99999999"
"253","J9FA26270000","ひし","ひし","","Water caltrop","4","","","1","00000000","99999999"
"254","J9FA26280000","かんぴょう","かんぴょう","","Dried gourd strips","4","","","1","00000000","99999999"
"255","J9FA26980000","果菜類（その他）","かさいるい（そのた）","","Fruiting vegetables (Other)","4","","","1","00000000","99999999"
"256","J9FA26990000","果菜類（詳細不明）","かさいるい（しょうさいふめい）","","Fruiting vegetables (N.O.S)","4","","","1","00000000","99999999"
"257","J9FA27000000","香辛野菜およびつまもの類","こうしんやさいおよびつまものるい","","Herbs and garnishes","3","","","1","00000000","99999999"
"258","J9FA27110000","わさび","わさび","","Wasabi","4","","","1","00000000","99999999"
"259","J9FA27120000","しょうが","しょうが","","Ginger","4","","1","1","00000000","99999999"
"260","J9FA27121100","根しょうが","ねしょうが","","Root ginger","5","","","1","00000000","99999999"
"261","J9FA27121200","葉しょうが","はしょうが","","Leaf ginger","5","","","1","00000000","99999999"
"262","J9FA27140000","芽","芽","","Sprouts","4","","","1","00000000","99999999"
"263","J9FA27141100","きの芽","きのめ","","Sansho buds","5","","","1","00000000","99999999"
"264","J9FA27141200","紅たで","べにたで","","Red water pepper","5","","","1","00000000","99999999"
"265","J9FA27150000","しそ","しそ","","Shiso","4","","1","1","00000000","99999999"
"266","J9FA27150011","しその実","しそのみ","","Shiso seeds","6","","","1","00000000","99999999"
"267","J9FA27151100","おおば","おおば","","Green shiso","5","","","1","00000000","99999999"
"268","J9FA27151200","ほじそ","ほじそ","","Purple shiso","5","","","1","00000000","99999999"
"269","J9FA27160000","かいわれだいこん","かいわれだいこん","","Daikon sprouts","4","","","1","00000000","99999999"
"270","J9FA27170000","みょうが","みょうが","","Myoga ginger","4","","","1","00000000","99999999"
"271","J9FA27171100","花みょうが","はなみょうが","","Myoga flower","5","","","1","00000000","99999999"
"272","J9FA27171200","みょうがたけ","みょうがたけ","","Myoga shoots","5","","","1","00000000","99999999"
"273","J9FA27180000","クレソン","くれそん","","Watercress","4","","","1","00000000","99999999"
"274","J9FA27190000","パセリ","ぱせり","","Parsley","4","","1","1","00000000","99999999"
"275","J9FA27210000","うめ","うめ","","Japanese apricot","4","","","1","00000000","99999999"
"276","J9FA27211200","こうめ","こうめ","","Small Japanese apricot","5","","","1","00000000","99999999"
"277","J9FA27220000","ゆず類","ゆずるい","","Yuzu citrus fruits","4","","","1","00000000","99999999"
"278","J9FA27221100","ゆず","ゆず","","Yuzu","5","","","1","00000000","99999999"
"279","J9FA27221200","だいだい","だいだい","","Daidai orange","5","","","1","00000000","99999999"
"280","J9FA27221300","すだち","すだち","","Sudachi","5","","","1","00000000","99999999"
"281","J9FA27221400","ゆこう","ゆこう","","Yuko citrus","5","","","1","00000000","99999999"
"282","J9FA27221500","かぼす","かぼす","","Kabosu","5","","","1","00000000","99999999"
"283","J9FA27230000","はまぼうふう","はまぼうふう","","Beach silvertop","4","","","1","00000000","99999999"
"284","J9FA27240000","食用ぎく","しょくようぎく","","Edible chrysanthemum","4","","","1","00000000","99999999"
"285","J9FA27250000","ホースラディッシュ","ほーすらでぃっしゅ","","Horseradish","4","","","1","00000000","99999999"
"286","J9FA27260000","バジル","ばじる","","Basil","4","","","1","00000000","99999999"
"287","J9FA27270000","ミント","みんと","","Mint","4","","","1","00000000","99999999"
